customer_id,total_basket_count,tenure,sale
9798859,6,93,20
11413563,6,65,20
818195,6,129,30
12049009,6,58,20
10083045,7,88,20
11248447,6,68,20
819721,9,129,30
4713723,6,115,30
11141669,10,69,20
10844015,6,73,20
5012539,6,114,30
11351893,6,66,20
4815027,6,115,30
11320883,6,67,20
4306642,6,117,30
10387447,6,82,20
831271,6,129,30
10373559,6,82,20
11350661,6,66,20
12030403,6,58,20
11884019,8,60,20
10991309,6,71,20
10880401,7,73,20
11328737,6,66,20
10395444,6,81,20
12282545,6,56,20
593411,6,130,30
844249,6,129,30
12417929,6,54,20
10284169,6,84,20
11073237,6,70,20
11158301,6,69,20
10189011,6,86,20
10205839,6,86,20
9485175,6,96,20
5267955,6,113,30
9421181,6,97,20
10862663,6,73,20
10176271,6,86,20
4754393,6,115,30
8904609,7,100,30
11158413,6,69,20
10055269,6,88,20
11769275,6,61,20
11474477,6,64,20
8015317,6,105,30
10597419,6,77,20
10717273,6,75,20
8209943,6,104,30
12150957,6,57,20
10905489,6,72,20
10599729,6,77,20
10597671,7,77,20
860990,8,129,30
11622037,6,63,20
8768879,6,101,30
8686965,7,101,30
12324641,6,55,20
4327911,8,117,30
4690133,6,115,30
12278147,6,56,20
11896087,6,60,20
9585247,6,95,20
4291119,6,117,30
12389433,6,54,20
12180511,7,57,20
11009271,7,71,20
11887183,6,60,20
10054681,8,88,20
12163949,6,57,20
9920547,8,91,20
11247145,6,68,20
4172693,6,117,30
4228777,6,117,30
12086053,7,58,20
10906945,7,72,20
11958233,7,59,20
11489583,7,64,20
11082519,6,70,20
10314675,6,83,20
11781455,6,61,20
9312625,6,97,20
5296431,6,113,30
11084409,6,70,20
11380033,7,66,20
11344473,6,66,20
4835963,6,114,30
10925873,6,72,20
11039245,6,71,20
12270531,7,56,20
4935693,6,114,30
9998695,8,89,20
11226271,6,68,20
11214021,7,69,20
12216155,6,56,20
11076569,6,70,20
12030263,6,58,20
9127153,7,99,20
1052163,7,127,30
8873795,6,100,30
9588622,6,95,20
10999638,6,71,20
4290055,6,117,30
11448465,8,64,20
10718246,7,75,20
5315275,6,113,30
8445465,7,103,30
11866519,6,60,20
9403541,6,97,20
10335899,10,83,20
875329,6,129,30
4763465,6,115,30
8486555,6,103,30
9500953,6,96,20
5043090,7,114,30
247695,6,130,30
11758257,6,61,20
9716497,6,94,20
12185131,7,57,20
4348197,6,117,30
4811849,6,115,30
851739,6,129,30
9837877,8,93,20
10065251,6,88,20
